ColoEnvPO,id,to,phone,fax,todaysdate,ship,shippingco,for,datereqd,comments,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,qty13,qty14,qty15,qty16,qty17,qty18,qty19,qty20,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,addchg1,addchg2,addchg3,addchg4,addchg5,addchg6,addchg7,addchg8,addchg9,addchg10,addchg11,addchg12,addchg13,addchg14,addchg15,addchg16,addchg17,addchg18,addchg19,addchg20,recvd1,recvd2,recvd3,recvd4,recvd5,recvd6,recvd7,recvd8,recvd9,recvd10,recvd11,recvd12,recvd13,recvd14,recvd15,recvd16,recvd17,recvd18,recvd19,recvd20,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20
20654,7838,West Print,3034337360,,2012-04-20,,,Pinnacol,2012-04-30,,sheets of 25 x 38 will be supplied for you to trim to,12 1/2 x 12 5/8,You will print from Don's Privided layout of a 4 1/8 x 9 3/4,Envelope,you WILL print 284 full flood with a so called 50% screen,along with black corner card and form number in bottom,left corner,you will,"You WILL get 6 out of the parent sheet totaling 51,000",1 up sheets,YOU WILL PRINT ALL SHEETS PROVIDED,You will make sure it looks pretty,you will do this is a timley manner,you WILL call when ready for pick up,YOU WILL MATCH THE CUSTOMERS SAMPLE,,YOU WILL NOT KNOCK OUTWHERE THE WINDOW,GOES,,,8500,,,,,,,,,,,,,,,,,,,,$1138.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-30,,,,,,,,,,,,,,,,,,,
,7721,Tharco,8005251831,8003621124,2012-03-13,,,Boxes,2012-03-13,"Attention Rita

This PO is for Make and Hold only, additional PO's will be sent for Qty release



Thanks  Don",9 x 12 - 13 x 12 1/8 x 9 1/8,Z181603,,R-577 Quote # Z178048  21 3/4 x 12 1/2 x 9 7/8,Boxes must be Brown 32 ECT -,,#10 bulk Quote # Z179875 19 1/2 x 12 1/4 x 8 1/2,,,,,,,thanks,Don,,,,,,3000,,,4000,,,4000,,,,,,,,,,,,,,480,,,745,,,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20345,7722,PDG,3032873770,,2012-03-13,,,Source Office,2012-03-14,,Please make negs from supplied PDF,,,,,#10,Pinnacol,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,$39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-14,,,,,,,,,,,,,,,,,,,
20349,7724,PDG,3032873770,,2012-03-13,,,Mido Printing,2012-03-14,,Please make negs from supplied PDF,,,,,#10,Pinnacol,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,$39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7723,Star Graphics,3034236300,3034247993,2012-03-14,Star,,Inventory,2012-03-14,"               




thanks Don
ph-303-460-1387
fx-303-439-0588",,,,,,Silicon Spray (36 cans),,,,,,,,,,,,,,,,,,,,3 cases,,,,,,,,,,,,,,,,,,,,7.42/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-14,,,,,,,,,,,,,,
20351,7725,PDG,3032873770,,2012-03-13,,,Print-Net,2012-03-14,,Please make negs from supplied PDF,,,,,4 x 8 1/2,Domestic and international,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,$65.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-15,,,,,,,,,,,,,,,,,,,
20349,7726,PDG,3032873770,,2012-03-13,,,Mido Printing,2012-03-14,,Please make negs from supplied PDF,,,,,A-6,Carpet Mills,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-15,,,,,,,,,,,,,,,,,,,
20399,7737,PDG,3032873770,,2012-03-20,,,Ross Printing,2012-03-21,,Please make negs from supplied PDF,,,,,10 x 13,Amerigroup,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-20,,,,,,,,,,,,,,,,,,,
,7738,Star Graphics,3034236300,3034247993,2012-03-20,Star,,Inventory,2012-03-22,"               




thanks Don
ph-303-460-1387
fx-303-439-0588",packages Blankets T-100's,,Litho Perf -,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,$28.40/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-05,,,,,,,,,,,,,,,,,
20393,7739,Xpedx Paper & Graphics,7209797528,,2012-03-21,,,IC Group,2012-03-21,,#10 cougar envelopes #60,Item number - 22630,placed order with Debbie,,Call  Kelli Maurer,Cell = 720-979-7528,office = 303-777-6688,Fax = 303-777-5405,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,45.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-21,,,,,,,,,,,,,,,,,,,
0,7740,Western Belting Co.,3033223500,,2012-03-21,,,,2012-03-30,,Bearing - R2-ZZ for Jets,,,,Ordered with Ryan,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,1.89/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-30,,,,,,,,,,,,,,,,,,,
20409,7741,West Print,3034337360,,2012-03-22,,,Pepperdines,2012-03-26,,Sheets of 19 x 25 Print 4 up,Your quote# 20866,Forrest Oil,Prints 356 Green - Outside corner card print,,Prints 356 Green inside tint,,,,,,,,,,,,,,,8600,,,,,,,,,,,,,,,,,,,,434.25/lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-02,,,,,,,,,,,,,,,,,,,
20424,7754,PDG,3032873770,,2012-04-02,,,Eagle,2012-04-02,,Please make negs from supplied PDF,,,,,6 x 9 1/4,Seter & Vander,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-02,,,,,,,,,,,,,,,,,,,
0,7655,Best Cutting Die,,,2012-02-16,,Colorado Envelope,,2012-02-24,"Please repair, sharpen and level.. Send back fed ex ground on our account # 200083598",, # 9 diag die,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-28,,,,,,,,,,,,,,,,,,
20096,7656,PDG,3032873770,,2012-02-16,,,BCT,2012-02-17,,Please make negs from supplied PDF,,,,,#10,CSU,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-17,,,,,,,,,,,,,,,,,,,
0,7662,"Denver Adhesive Company, Inc",,,2012-02-20,,,COLORADO ENVELOPE,2012-02-21,,  TOTE BACK SEAL,Net Weight 2749.18,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131,7675,"Spicers Paper, Inc",3033739655,,2012-02-23,,,,2012-02-24,,,,,,23 x 35 #24 Encore,,,,,,,,,,,,,,,,,,,,68000,,,,,,,,,,,,,,,,,,,,$62.04/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-24,,,,,,,,,,,,,,,
20168,7676,Best Cutting Die,,,2012-02-23,,,HoneyMan,2012-02-28,,Top Wndow 1 1/8 x 4 1/2   7/8 L  2 1/4 B,Bottom Window 1 1/8 x 4 1/2    7/8 L 1/2 B,,Double Window gummer,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,$98.00,,,$186.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,Complete,,,,,,,,,,,,,,,,,2012-03-01,,,2012-03-01,,,,,,,,,,,,,,,,
20041,7677,PDG,3032873770,,2012-02-23,,,Good Sam,2012-02-24,,Please make negs from supplied PDF,,,,,#9,Good Sam,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-27,,,,,,,,,,,,,,,,,,,
19888,7650,PDG,3034337360,,2012-02-14,,,Source Office,2012-02-15,,Can you please output 1 neg from the PDF that I will,e-mail,,Pinnacol - ZAUCCIE006,#9,"Thanks,",Don the great,let me know if you you have to type set then I will add,it to the invoice,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-15,,,,,,,,,,,,,,,,,,,
13260,7651,Unisource,,,2012-02-15,,,Source and DPS,2012-02-22,,9 x 12 #28  Brown Kraft Catalog for JB# 20081,,10 x 13 OE Catalog #18 Tyvek,,,,,,,,,,,,,,,,,,71500,,5500,,,,,,,,,,,,,,,,,,52.5,,287.00/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7652,"Halm Industries CO., Inc.",5166766700,,2012-02-15,,,#'Jet,2012-02-22,,Distributor Roller Assembly Part number 4451,,,Placed order with,,,Acct Number 267777,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,541.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-22,,,,,,,,,,,,,,,,,,,
20057,7653,Xpedx Paper Store,,,2012-02-16,,,,2012-02-17,,#10 reg Simple Seal,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,$80.38/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-16,,,,,,,,,,,,,,,,,,,
20092,7654,PDG,3032873770,,2012-02-16,,,Trident Printing,2012-02-17,,Please make negs from supplied PDF,,Replacement for scratched one,,,3 3/8 x 4 1/2,Boulder Boulder,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,$13.00,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-17,,,,,,,,,,,,,,,,,,,
20168,7678,Pepperdines,,,2012-02-23,,,Honeyman,2012-02-24,,Poly Plates .107 thick,UNISA,,,Delivered,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-24,,,,,,,,,,,,,,,,,,,
0,7679,Best Cutting Die,,,2012-02-23,,Colorado Envelope,,2012-03-02,SEND BACK 2ND DAY ON OUR ACCOUNT # 200083598,,  9 X 12 OE Die - sharpen and level,,  # 10 Diag Die - sharpen and level,,  # 10 Pictoral Die - repair sharpen and level,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,,,,,,,,,,,,,,,2012-03-02,,2012-03-02,,2012-03-02,,,,,,,,,,,,,,
0,7680,American Holt Corporation,7814409993,7814409994,2012-02-23,Ground,,WR,2012-03-01,,RH-6 Cam Follower,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,9.75/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-05-11,,,,,,,,,,,,,,,,,,,
20173,7681,PDG,3032873770,,2012-02-24,,,Mail Masters,2012-02-27,,Please make negs from supplied PDF,,,,,6 1/2 Remit,Denver Health,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-27,,,,,,,,,,,,,,,,,,,
20175,7682,PDG,3032873770,,2012-02-24,,,Frederic Prt,2012-02-27,,Please make negs from supplied PDF,,,,,#9,Payment Processing,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-27,,,,,,,,,,,,,,,,,,,
20180,7683,PDG,3032873770,,2012-02-24,,,Source Office,2012-02-27,,Please make negs from supplied PDF,,,,,#10,Pam Anderson,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-27,,,,,,,,,,,,,,,,,,,
20131,7684,"Spicers Paper, Inc",3033739655,,2012-02-24,,,Inventory,2012-02-25,,,,,,23 x 35 #24 Encore,,,,,,,,,,,,,,,,,,,,42500,,,,,,,,,,,,,,,,,,,,$62.04/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-25,,,,,,,,,,,,,,,
0,7727,West Print -PDG,,,2012-03-15,,,,2012-03-28,,Print Blue standard inside tint to 19 x 25 #60 white,Paper provided,,Print Black standard inside tint to 19 x 25 #60 white,Paper Provided,,,Don has provided you the layout and the tint pattern,NOW GET IT DONE :),,,,YOUR QUOTE# 20852,,,"THANKS,",JR,,,,8500,,,25500,,,,,,,,,,,,,,,,,$1026.50/Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,Complete,,,,,,,,,,,,,,,,,2012-04-02,,,2012-04-02,,,,,,,,,,,,,,,,
,7728,"Spicers Paper, Inc",3033739655,,2012-03-15,,,Inventory,2012-03-15,,,,,,23 x 35 #24 Encore,,,,,,,,,,,,,,,,,,,,51000,,,,,,,,,,,,,,,,,,,,$62.04/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-15,,,,,,,,,,,,,,,
,7729,"Spicers Paper, Inc",3033739655,,2012-03-15,,,Inventory,2012-03-15,,28 x 40 #70,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,$100.35/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-15,,,,,,,,,,,,,,,,,,,
20359,7730,PDG,3032873770,,2012-03-15,,,Colorado Printing,2012-03-16,,Please make negs from supplied PDF,,,,,#9 Remittance,UNM Foundation,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,$52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-19,,,,,,,,,,,,,,,,,,,
20360,7731,PDG,3032873770,,2012-03-15,,,Bestskinsever,2012-03-16,,Please make negs from supplied PDF,,,,,#10,Recycle back printing,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-03-19,,,,,,,,,,,,,,,,,,,
,7732,"Spicers Paper, Inc",3033739655,,2012-03-15,,,Inventory,2012-03-15,,25 x 38 #24 Encore,,,,23 x 35 #24 Encore,,,,,,,,,,,,,,,,17000,,,,10460,,,,,,,,,,,,,,,,$62.04/M,,,,$62.04/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,Complete,,,,,,,,,,,,,,,,2012-03-16,,,,2012-03-16,,,,,,,,,,,,,,,
19986,7617,Best Cutting Die,,,2012-02-02,,,Select Printing,2012-02-06,,2 1/8 x 3 1/2 MO Flex Dies,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,$132.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-06,,,,,,,,,,,,,,,,,,,
19990,7618,PDG,3032873770,,2012-02-02,,,Honeyman,2012-02-03,,Please make negs from supplied PDF,,,,,#10,RK Capital Mgmt,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-02,,,,,,,,,,,,,,,,,,,
19990,7619,Xpedx Paper & Graphics,7209797528,,2012-02-02,,,Honeyman,2012-02-06,,,,,,#10 simple seal,Item Number 426435,office = 303-777-6688,Fax = 303-777-5405,Call  Kelli Maurer,Cell = 720-979-7528,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,64.00/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-02,,,,,,,,,,,,,,,
19995,7620,PDG,3032873770,,2012-02-02,,,American Solutions For Bus,2012-02-03,,Please make negs from supplied PDF,,,,,#10,Vistar,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-02,,,,,,,,,,,,,,,,,,,
0,7621,"Halm Industries CO., Inc.",5166766700,,2012-02-01,2nd day,Best,3 inch jet,2012-02-07,any questions please contact Don,Copper form roller Part number 4458,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,688.48/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989,7622,PDG,3032873770,,2012-02-02,,,Frederic,2012-02-03,,Please make negs from supplied PDF,,,,,#10,Denver Rescue,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-07,,,,,,,,,,,,,,,,,,,
20183,7685,PDG,3032873770,,2012-02-27,,,I3logix,2012-02-28,,Please make negs from supplied PDF,,,,,#10,UCIrvine,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-28,,,,,,,,,,,,,,,,,,,
20186,7686,PDG,3032873770,,2012-02-27,,,Mido Printing,2012-02-28,,Please make negs from supplied PDF,,,,,A-6,Carpet Mills,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-28,,,,,,,,,,,,,,,,,,,
0,7687,Applied Indust. Tech.,3033759696,,2012-02-27,,,WR,2012-02-28,,SYMN SS-1224-12 Sintered Bushing,glue for Belts for Latex,Quote number 7400071220,,McGill CF 3/4 SB - Cam Follower for RA,,,,,,,,,,,,,,,,5,,,,5,,,,,,,,,,,,,,,,2.75/each,,,,18.86/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,Complete,,,,,,,,,,,,,,,,2012-03-14,,,,2012-03-06,,,,,,,,,,,,,,,
20197,7688,PDG,3032873770,,2012-02-28,,,Trident Printing,2012-02-29,,Please make negs from supplied PDF,,,,,#10,Boulder Boulder,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-02-28,,,,,,,,,,,,,,,,,,,
20517,7769,PDG,3032873770,,2012-04-05,,,Wizbang,2012-04-06,,Please make negs from supplied PDF,,,,,#9,Stadium Management,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-06,,,,,,,,,,,,,,,,,,,
20518,7770,PDG,3032873770,,2012-04-05,,,Wizbang,2012-04-06,,Please make negs from supplied PDF,,,Cancel this 4/5/12,,#9,Denver Broncos Football Club,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20521,7771,PDG,3032873770,,2012-04-05,,,ZipTek,2012-04-06,,Please make negs from supplied PDF,,,,,#10,Health Colorado,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-05,,,,,,,,,,,,,,,,,,,
20524,7772,PDG,3032873770,,2012-04-05,,,Eagle Direct,2012-04-06,,Please make negs from supplied PDF,,,,,#10,Cable One,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-05,,,,,,,,,,,,,,,,,,,
0,7773,Western Belting Co.,3033223500,,2012-04-05,2nd day,,,2012-04-05,,,,,,Master Link - #60 Chain UST Brand,,,,,,Ordered with Scott,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-05,,,,,,,,,,,,,,,
20531,7774,PDG,3032873770,,2012-04-05,,,IC Group,2012-04-06,,Please make negs from supplied PDF,,,,,9 x 12 OE,Oppenheimer Funds,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-05,,,,,,,,,,,,,,,,,,,
0,7775,NPC,3032885775,,2012-04-05,,,Inventory,2012-04-06,,Cases of  48mm x 100m (2x110)Clear Hand Tape,1.85 mil 36 rolls per case,"Item # 170  ""Inter tape #170"" Accrylic hand tape",,,,,Placed order with Angela,,Customer #102949,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,$39.00/Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-06,,,,,,,,,,,,,,,,,,,
20488,7776,Paper Plus,7209047145,,2012-04-04,,,king soopers,2012-04-11,,9 X 12 BOOKLET #28,,10 x 13 OE #28 ww PO 20502,Placed order with Jeff,,for PO & 20512 & 20488,,Delivered,,,,,,,,,,,,,28000,,35500,,,,,,,,,,,,,,,,,,48.8,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2012-04-11,,2012-04-11,,,,,,,,,,,,,,,,,
20501,7777,Paper Plus,7209047145,,2012-04-04,,,Honeyman,2012-04-05,,9 x 12 OE #24 ww PO 20501,,Delivery,,,,,Delivered,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,54.00/m,,$20.00/lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20483,7778,"Spicers Paper, Inc",3033739655,,2012-04-05,,,,2012-04-06,,Sheets 23 x 29 #60 Encore,,,,,,,,,,,,,,,,,,,,42500,,,,,,,,,,,,,,,,,,,,52.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-06,,,,,,,,,,,,,,,,,,,
20511,7779,PDG,3032873770,,2012-04-05,,,Eagle Direct,2012-04-06,,Please make negs from supplied PDF,,,,,9 x 12 OS,Security Sleeve,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-05,,,,,,,,,,,,,,,,,,,
20509,7780,PDG,3032873770,,2012-04-06,,,Eagle Direct,2012-04-09,,Please make negs from supplied PDF,,,,,5 3/4 x 8 7/8,Offical Ballot,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-10,,,,,,,,,,,,,,,,,,,
20508,7781,PDG,3032873770,,2012-04-06,,,Eagle Direct,2012-04-09,,Please make negs from supplied PDF,,,,,6 x 9 1/4,Offical Ballot,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-10,,,,,,,,,,,,,,,,,,,
20476,7782,West Print,3034337360,,2012-04-06,,,IPS,2012-04-10,,"Sheets of 25 x 19  (this will yield 24,000 envelopes)",Print BLACK INSIDE TINT,your quote number 20882,,,,,,,,,,,,,,,,,,12000,,,,,,,,,,,,,,,,,,,,494.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-13,,,,,,,,,,,,,,,,,,,
20526,7783,West Print,3034337360,,2012-04-06,,,IC Group,2012-04-10,,"Sheets of 25 x 19  (this will yield 7,000 envelopes)",Print BLUE  PMS  548 INSIDE TINT,your quote number 20884,,,Please re-price with printing 548 TINT only No face print,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2012-04-13,,,,,,,,,,,,,,,,,,,
